Category,Name,Image URL,Day ($),Week ($),Month ($),Notes
Concrete Equipment,"Drill 3/4""",https://firststoprentals.com/wp-content/uploads/2017/05/34indrill.jpg,8.0,32.0,96.0,Extension cord provided.
Concrete Equipment,Electric Chipper,https://firststoprentals.com/wp-content/uploads/2017/05/chipmak.jpg,70.0,280.0,840.0,Extension cord provided.
Concrete Equipment,Diamond Floor Grinder,https://firststoprentals.com/wp-content/uploads/2023/05/IMG_4271.jpg,200.0,800.0,2400.0,Floor Grinder | Vacuum
Concrete Equipment,Jack Hammer Air,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,65.0,260.0,780.0,(Camera shy)
Concrete Equipment,Edco Floor Grinder,https://firststoprentals.com/wp-content/uploads/2017/05/edcogr.jpg,200.0,800.0,2400.0,Extension cord provided.
Concrete Equipment,Jack Hammer Electric,https://firststoprentals.com/wp-content/uploads/2017/05/jhame.jpg,80.0,320.0,960.0,Extension cord provided.
Concrete Equipment,Jack Hammer Gas,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,140.0,560.0,1680.0,(Camera shy)
Concrete Equipment,Jack Hammer Battery,https://firststoprentals.com/wp-content/uploads/2023/05/Screen-Shot-2023-05-11-at-1.18.30-PM.png,65.0,260.0,780.0,
Concrete Equipment,Gas Trowel,https://firststoprentals.com/wp-content/uploads/2023/05/Screen-Shot-2023-05-11-at-1.20.51-PM.png,52.0,208.0,624.0,"36"" diameter | For finishing floors. | *Cleaning charges extra at $100/hr*"
Concrete Equipment,"Impact Drill 1/2""",https://firststoprentals.com/wp-content/uploads/2017/05/impact-gun12.jpg,44.0,176.0,528.0,Extension cord provided.
Concrete Equipment,"Interlock Wet Saw 10""",https://firststoprentals.com/wp-content/uploads/2017/05/10targetsaw.jpg,100.0,400.0,1200.0,(A.K.A. Target Saw) | Extension cord provided.
Concrete Equipment,"Interlock Wet Saw 14""",https://firststoprentals.com/wp-content/uploads/2017/05/14intargetsaw.jpg,100.0,400.0,1200.0,(A.K.A. Target saw) | Extension cord provided.
Concrete Equipment,Pavestone Breaker,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,35.0,140.0,420.0,(Camera shy)
Concrete Equipment,"Rotary Hammer Drill up to 1""",https://firststoprentals.com/wp-content/uploads/2017/05/sdsdrillsm.jpg,68.0,272.0,816.0,Extension cord provided.
