ITEM,DAILY RATE ($),,,
Snake Toilet,$18,,,
Soil Pipe Cutter,$40,,,
PRESSURE WASHERS,,,,
Extendable Wand,$14,,,
Pressure Washer 1500Psi Electric,$60,,,
Pressure Washer 2000Psi Gas,$80,,,
Pressure Washer 3000Psi Gas,$90,,,
Pressure Washer 4000Psi Gas,$100,,,
SAWS,,,,
Chain Saw Battery,$52,,,
Chain Saw Gas 16/18In,$52,,,
Chain Saw Gas 24In,$62,,,
Chop Saw Electric,$44,,,
Circular Saw,$24,,,
Compound Miter Saw,$44,,,
Dia Blade Rental 12In,$28,,,
Dia Blade Rental 14In,$30,,,
Dia Blade Rental 18In,$45,,,
Polesaw,$74,,,
Quick Cut Bat 14 In,$65,,,
Quick Cut Gas 12In,$58,,,
Quick Cut Gas 14In,$65,,,
Quick Cut Gas Bat 9In,$60,,,
Road Saw Gas 14In,$100,,,
Road Saw Gas 18In,$145,,,
Sawzall,$24,,,
Undercut Saw,$44,,,
SCAFFOLD,,,,
Banana Clips Ea,$1,,,
Boom And Pulley,$13,,,
Casters 8In Ea,$4,,,
Feet Ea,$2,,,
Levellers Ea,$5,,,
Outriggers,$4,,,
Plank Extensions,$5,,,
Rail System,$15,,,
Scaffold Brace 7Ft Or 10Ft,$2,,,
Scaffold End 5X5,$4,,,
Scaffold Planks 10Ft,$10,,,
Scaffold Planks 7Ft,$10,,,
Scaffold Section 2Ends 2 Braces,$10,,,
WATER PUMPS,,,,
2In Hoses W/Pump,$9,,,
3In Hoses W/Pump,$10,,,
4In Hoses W/Pump,$12,,,
Diaphragm Pump 2In,$85,,,
Puddle Pump/Roofers Pump,$25,,,
Semi-Trash 2In,$60,,,
Semi-Trash 3In,$75,,,
Semi-Trash 4In,$100,,,
Submersible Pump 2In 120V,$38,,,
Submersible Pump 3In 120V,$48,,,
Submersible Pump 3In 240 V,$80,,,
Water Bed Pump,$25,,,
